FECHA,DISTRITO,TEMPERATURA,PRECIPITACION,VIENTO,CÓDIGO,DIRECCION,Codigo Postal
2024-05-21,102,12.5,2.4,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-22,102,13.4,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-23,102,14.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-24,102,16.6,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-25,102,18.6,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-26,102,19.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-27,102,20.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-28,102,20.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-29,102,22.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-30,102,23.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-05-31,102,18.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-01,102,15.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-02,102,16.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-03,102,18.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-04,102,20.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-05,102,23.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-06,102,23.9,2.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-07,102,23.3,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-08,102,16.5,4.3,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-09,102,16.1,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-10,102,13.0,12.4,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-11,102,15.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-12,102,15.2,0.4,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-13,102,16.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-14,102,20.7,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-15,102,19.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-16,102,20.0,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-17,102,20.5,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-18,102,17.8,0.7,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-19,102,15.5,0.2,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-20,102,13.1,8.8,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-21,102,17.9,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-22,102,20.6,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
2024-06-23,102,20.2,0.0,False,28079102,"C/ Fuente Carantona, 8",28025
